facility_id	prefecture	facility	core_source	status	product	manufacturer	evidence_type	evidence_url	note
B17-01	茨城県	医療法人社団 筑波記念会 筑波記念病院	v40:F0399	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex.
B17-02	茨城県	医療法人健佑会 いちはら病院	v40:F0398	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical with Arthrex and other manufacturers.
B17-03	千葉県	亀田メディカルセンター	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	ACP	Arthrex	MANUFACTURER_LOCATOR_ONLY	https://seikei-saisei.jp/institution.html	Current Arthrex locator entry found, but facility is absent from v40 facility master and v41 additions; do not count until current-plan/core audit.
B17-04	千葉県	社会医療法人社団蛍水会 名戸ヶ谷病院	v41:V41F6BA7FEB040	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex and Zimmer Biomet.
B17-05	千葉県	医療法人社団靭生会 メディカルプラザ市川駅	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	ACP	Arthrex	MANUFACTURER_LOCATOR_ONLY	https://seikei-saisei.jp/institution.html	Manufacturer locator lead only; absent from locked v40/v41 core inputs.
B17-06	千葉県	医療法人社団錦昌会 みどりのは 葉記念病院	v41/current	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex; locator spelling normalized.
B17-07	神奈川県	あべ整形外科	NOT_IN_V40_OR_V41	OUTSIDE_LOCKED_CORE_REVIEW	ACP	Arthrex	MANUFACTURER_LOCATOR_ONLY	https://seikei-saisei.jp/institution.html	Manufacturer locator lead only; absent from locked v40/v41 core inputs.
B17-08	神奈川県	医療法人社団総生会 麻生総合病院	v41:V41F6A830C1F3C	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex.
B17-09	神奈川県	医療法人博桜会 たなべ整形外科 せぼね・骨粗しょう症クリニック	v41:V41F4B1FAFEBC3	CONFIRMED_NEW	ACP	Arthrex	CURRENT_FACILITY_RENAME_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current official site is たなべ整形外科 横浜脊椎オペクリニック at the same address 横浜市緑区十日市場町819-13 as the v41 facility; Arthrex locator lists current name with ACP-PRP.
B17-10	神奈川県	一般社団法人SOL SOL整形外科鷺沼スポーツクリニック	v40:F0444	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex.
