facility_id	prefecture	facility	core_source	status	product	manufacturer	evidence_type	evidence_url	note
B14-01	青森県	八戸平和病院	v40:F0412	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 address 八戸市湊高台二丁目4-6 matches current Arthrex ACP-PRP locator.
B14-02	青森県	医療法人なかざわ整形外科 なかざわスポーツクリニック	v40:F0410	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 address 八戸市新井田字館下1番地 matches current Arthrex ACP-PRP locator.
B14-03	福島県	公立藤田総合病院	v40:F0391	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	Exact current facility/address match; Arthrex locator lists ACP-PRP.
B14-04	埼玉県	東松山市立市民病院	v40:F0095	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 東松山市大字松山2392番地; locator lists PRP/APS.
B14-05	埼玉県	社会医療法人新青会 川口工業総合病院	v40:F0098	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	Exact address match 川口市青木1-18-15; Arthrex locator lists ACP-PRP.
B14-06	宮崎県	橘病院	v40:F0153	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 representative name is 橘病院; current Arthrex locator uses 医療法人社団橘会 橘病院 at same 都城市中町15-24 address.
B14-07	宮崎県	あたご整形外科	v40:F0149	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 address 延岡市愛宕町3-161 matches current Zimmer PRP/APS locator.
B14-08A	富山県	整形外科センター西能クリニック	v40:F0154	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	Current Arthrex locator lists ACP-PRP at 富山市高田71番地1; same facility as V40 representative.
B14-08B	富山県	整形外科センター西能クリニック	v40:F0154	CONFIRMED_NEW_SECOND_PLACEMENT	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer locator lists PRP/APS at 富山市高田71番地1.
B14-09	山梨県	市立甲府病院	v40:F0459	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 甲府市増坪町366番地; locator lists PRP/APS.
B14-10	岡山県	医療法人社団河合会 新倉敷メディカルスクエア	v40:F0169	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 倉敷市玉島1719; locator lists PRP/APS.
B14-11	愛媛県	住友別子病院	v40:F0195	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	Exact address match 新居浜市王子町3番1号; Arthrex locator lists ACP-PRP.
B14-12	愛媛県	愛媛大学医学部附属病院	v40:F0197	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Current Zimmer locator lists PRP/APS at 東温市志津川454; V40 master uses 東温市志津川.
B14-13	神奈川県	横浜市立市民病院	v40:F0356	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	Exact address match 横浜市神奈川区三ツ沢西町1-1; locator lists ACP-PRP.
B14-14	福岡県	後藤整形外科医院	v40:F0379	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 福岡市中央区鳥飼1-5-45; locator lists APS.
B14-15	福岡県	北九州総合病院	v40:F0378	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Current locator uses 社会医療法人北九州病院 北九州総合病院 at same 北九州市小倉北区東城野町1-1 address.
