facility_id	prefecture	facility	status	product	manufacturer	evidence_type	evidence_url	note
B49-01	埼玉県	根本外科整形外科	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2303014/5/0	MHLW plans confirm PRP treatment; no explicit kit/brand/manufacturer established.
B49-02	大阪府	医療法人讃高会 枚方東整形外科病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2507044/5/0	MHLW plans confirm PRP treatment; no explicit kit/brand/manufacturer established.
B49-03	愛知県	フェリシティークリニック名古屋	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D1906001/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
B49-04	東京都	医療法人さくら会 銀座NANAクリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2307044/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
B49-05	東京都	医療法人財団健貢会 東京クリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2407053/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
B49-06	滋賀県	東近江市立能登川病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2402012/5/0	MHLW plans confirm PRP treatment; no explicit kit/brand/manufacturer established.
B49-07	神奈川県	特定医療法人社団育成社 佐々木病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C1911192/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
B49-08	静岡県	TOBU整形外科スポーツ&リハビリクリニック	CONFIRMED_NEW	Condensia	京セラ	MHLW_EXPLICIT_MANUFACTURER	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2508004/5/0	Exact MHLW explanation explicitly states 京セラ Condensia system is used.
B49-09	北海道	札幌ひざのセルクリニック	HOLD_NO_BRAND	PRP|脂肪由来幹細胞		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01A2312001/5/0	MHLW plans confirm regenerative treatment including PRP; no explicit PRP kit/brand/manufacturer established.
B49-10	埼玉県	独立行政法人国立病院機構 西埼玉中央病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C1911189/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
B49-11	大阪府	医療法人酒井会 さかいペインクリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2403005/5/0	MHLW plans confirm PRP treatment; no explicit kit/brand/manufacturer established.
B49-12	愛知県	リジェネレーションクリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2404004/5/0	MHLW plans confirm PRP treatment; no explicit kit/brand/manufacturer established.
B49-13	東京都	医療法人京華会 CLINICA BellaForma	HOLD_NO_BRAND	PRP|脂肪由来幹細胞		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2604016/5/0	MHLW plans confirm regenerative treatment including PRP; no explicit PRP kit/brand/manufacturer established.
B49-14	東京都	医療法人財団檜扇会 クリニック 東京虎ノ門COR	HOLD_NO_BRAND	PRP|脂肪由来幹細胞		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2404031/5/0	MHLW plans confirm regenerative treatment including PRP; no explicit PRP kit/brand/manufacturer established.
B49-15	滋賀県	田原整形外科	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2404003/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
