facility_id	prefecture	facility	core_source	status	product	manufacturer	evidence_type	evidence_url	note
B13-01	青森県	弘前大学医学部附属病院	v40:F0413	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_PLUS_CURRENT_MHLW_PRODUCT	https://seikei-saisei.jp/institution.html	V40 facility master address 弘前市本町53 matches Arthrex locator. Current MHLW plan 03B2607015 also names Arthrex ACP/ACP MAX/Angel systems.
B13-02	山形県	国立大学法人山形大学医学部附属病院	v40:F0159	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 address 山形市飯田西二丁目2番2号 matches locator 〒990-9585 山形市飯田西2-2-2.
B13-03A	山形県	医療法人徳洲会 山形徳洲会病院	v40:F0160	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Arthrex locator lists ACP-PRP at same facility/address.
B13-03B	山形県	医療法人徳洲会 山形徳洲会病院	v40:F0160	CONFIRMED_NEW_SECOND_PLACEMENT	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Zimmer locator lists PRP/APS at 〒990-0834 山形市清住町2-3-51, matching V40 master.
B13-04	山形県	志田整形外科医院	v40:F0161	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Exact name/address match; locator lists ACP-PRP.
B13-05	北海道	医療法人 五輪橋整形外科病院	v40:F0042	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 札幌市南区川沿2条1丁目2番56号; locator lists PRP/APS.
B13-06	北海道	医療法人悠康会 函館整形外科クリニック	v40:F0046	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 函館市石川町2-115; locator lists PRP/APS.
B13-07	北海道	医療法人社団くわのみ会 桑園整形外科	v40:F0036	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 札幌市中央区北8条西16丁目28-30; locator lists APS.
B13-08	北海道	医療法人社団三慈会 釧路三慈会病院	v40:F0041	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 釧路市幣舞町4-30; locator lists PRP/APS.
B13-09	北海道	小樽市立病院	v40:F0044	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	Exact facility/address match 小樽市若松1丁目1番1号; locator lists ACP-PRP.
B13-10	北海道	整形外科進藤病院	v40:F0047	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 旭川市4条通19丁目右6号; locator lists APS.
B13-11	北海道	社会医療法人社団 朋仁会 整形外科 北新病院	v40:F0053	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 札幌市東区北8条東4丁目1番5号; locator lists PRP/APS.
B13-12	北海道	社会医療法人北斗 北斗病院	v40:F0051	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 帯広市稲田町基線7番地5; locator lists PRP/APS.
B13-13	宮城県	JR仙台病院	v40:F0142	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 仙台市青葉区五橋1丁目1-5; locator lists PRP/APS.
B13-14	宮城県	関節外科スポーツクリニック石巻	v40:F0148	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	Exact address match 石巻市あゆみ野5丁目2-1; locator lists ACP-PRP.
B13-15	岩手県	盛岡ふじさわ整形外科クリニック	v40:F0173	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Exact address match 盛岡市本宮三丁目9番13号; locator lists PRP/APS.
