facility_id	prefecture	facility	core_source	status	product	manufacturer	evidence_type	evidence_url	note
B15-01A	鹿児島県	公益社団法人鹿児島共済会 南風病院	v40:F0434	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core facility; current Arthrex locator lists 南風病院 with ACP-PRP.
B15-01B	鹿児島県	公益社団法人鹿児島共済会 南風病院	v40:F0434	CONFIRMED_NEW_SECOND_PLACEMENT	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Zimmer locator lists APS at 〒892-8512 鹿児島市長田町14番3号, matching V40 facility.
B15-02A	鹿児島県	医療法人術徳会 霧島整形外科クリニック	v40:F0438	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core facility; current Arthrex locator lists 霧島整形外科クリニック with ACP-PRP.
B15-02B	鹿児島県	医療法人術徳会 霧島整形外科クリニック	v40:F0438	CONFIRMED_NEW_SECOND_PLACEMENT	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Zimmer locator lists APS at 〒899-4341 霧島市国分野口東8-31, matching V40 facility.
B15-03	鹿児島県	医療法人明正会 今林整形外科病院	v40:F0433	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator lists 今林整形外科病院 with ACP-PRP; exact V40 core identity.
B15-04	長崎県	医療法人山口整形外科医院	v40:F0401	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator lists 山口整形外科医院 with ACP-PRP; exact V40 core identity after legal-prefix normalization.
B15-05	福岡県	医療法人松口整形外科クリニック	v40:F0381	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator lists 松口整形外科クリニック with ACP-PRP/HD-PRP; manufacturer group is Arthrex.
B15-06	広島県	寛田クリニック	v40:F0183	CONFIRMED_NEW_SECOND_PLACEMENT	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Already canonical for Arthrex. Zimmer locator lists APS at 〒732-0827 広島市南区稲荷町3番20号; add Zimmer placement only.
B15-07	愛媛県	社会医療法人石川記念会 HITO病院	v40:F0198	ALREADY_CANONICAL	APS	Zimmer Biomet	CANONICAL_ALREADY_PRESENT	https://m.kansetsu-life.com/saisei/index.php	Already canonical for Zimmer Biomet; no increment.
B15-08	福岡県	医療法人秀英会 新庄整形外科医院	v40:F0598	ALREADY_CANONICAL	ACP|APS	Arthrex|Zimmer Biomet	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html|https://m.kansetsu-life.com/saisei/index.php	Already canonical for both manufacturers; no increment.
B15-09	鳥取県	鳥取大学医学部附属病院	v40:F0431	ALREADY_CANONICAL	APS	Zimmer Biomet	CANONICAL_ALREADY_PRESENT	https://m.kansetsu-life.com/saisei/index.php	Already canonical for Zimmer Biomet; no increment.
B15-10	島根県	やまもと整形外科クリニック	v40:F0176	ALREADY_CANONICAL	APS	Zimmer Biomet	CANONICAL_ALREADY_PRESENT	https://m.kansetsu-life.com/saisei/index.php	Already canonical for Zimmer Biomet; no increment.
B15-11	広島県	社会医療法人里仁会 興生総合病院	v40:F0189	ALREADY_CANONICAL	APS	Zimmer Biomet	CANONICAL_ALREADY_PRESENT	https://m.kansetsu-life.com/saisei/index.php	Already canonical for Zimmer Biomet; no increment.
B15-12	広島県	独立行政法人労働者健康安全機構 中国労災病院	v40:F0181	ALREADY_CANONICAL	APS	Zimmer Biomet	CANONICAL_ALREADY_PRESENT	https://m.kansetsu-life.com/saisei/index.php	Already canonical for Zimmer Biomet; no increment.
B15-13	福井県	医療法人弘昭会 大森整形外科リウマチ科	v40:F0456	ALREADY_CANONICAL	APS	Zimmer Biomet	CANONICAL_ALREADY_PRESENT	https://m.kansetsu-life.com/saisei/index.php	Already canonical for Zimmer Biomet; no increment.
B15-14	長野県	医療法人弘仁会 かもいクリニック	v40:F0403	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex; no increment.
B15-15	長野県	長野整形外科クリニック	v40:F0407	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex; no increment.
B15-16	長野県	佐久平整形外科クリニック	v40:F0464	ALREADY_CANONICAL	ACP	Arthrex	CANONICAL_ALREADY_PRESENT	https://seikei-saisei.jp/institution.html	Already canonical for Arthrex; no increment.
