facility_id	prefecture	facility	status	product	manufacturer	match_type	evidence_type	evidence_url	note
B10-01	大阪府	医療法人想千あわ整形外科クリニック	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists あわ整形外科クリニック with ACP-PRP; unique Osaka match to current MHLW facility.
B10-02	大阪府	医療法人桂礼会 小阪医院	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists 小阪医院 with ACP-PRP; unique Osaka match.
B10-03	大阪府	社会医療法人報恩会 長吉総合病院	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists 長吉総合病院 with ACP-PRP; unique Osaka match.
B10-04	東京都	医療法人社団平成会 たいら整形外科クリニック	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists たいら整形外科クリニック with ACP-PRP; unique Tokyo match.
B10-05	東京都	社会福祉法人 みどり福祉会 B&Jクリニック お茶の水	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists B&Jクリニック お茶の水 with ACP-PRP; unique Tokyo match.
B10-06	東京都	社会福祉法人同愛記念病院財団 同愛記念病院	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists 同愛記念病院 with ACP-PRP; unique Tokyo match.
B10-07	福岡県	医療法人HMC ブレインメディカルクリニック博多	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists ブレインメディカルクリニック博多 with ACP-PRP; unique Fukuoka match.
B10-08	和歌山県	医療法人琉憲会 ナカイマ整形外科クリニック	CONFIRMED_NEW	ACP-PRP	Arthrex	LEGAL_PREFIX_STRIPPED_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator lists ナカイマ整形外科クリニック with ACP-PRP; unique Wakayama match.
B10-09	京都府	医療法人社団貴順会吉川病院	CONFIRMED_NEW	ACP-PRP	Arthrex	KANJI_VARIANT_UNIQUE	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator uses 𠮷川病院 while current MHLW uses 吉川病院; same legal entity/prefecture and unique match.
B10-10	神奈川県	社会福祉法人恩賜財団済生会 横浜市東部病院	ALREADY_CANONICAL	APS	Zimmer Biomet	ADDRESS_MATCH	MANUFACTURER_LOCATOR	https://m.kansetsu-life.com/saisei/index.php	Already canonical as 済生会 横浜市東部病院 with Zimmer Biomet; no increment.
B10-11	大分県	医療法人恵愛会 中村病院	HOLD_PRODUCT_GENERIC	PRP	Zimmer Biomet	NORM_EXACT	MANUFACTURER_LOCATOR_REVIEW	https://m.kansetsu-life.com/saisei/index.php	Zimmer-operated locator match is exact but product is PRP only; prior policy does not assign Zimmer without APS/GPS or explicit manufacturer/product evidence.
B10-12	埼玉県	まくり整形外科クリニック	HOLD_FALSE_FUZZY	APS	Zimmer Biomet	LOW_SIMILARITY	MANUFACTURER_LOCATOR_REJECT	https://m.kansetsu-life.com/saisei/index.php	Candidate locator is まつだ整形外科クリニック, a different facility; rejected despite string similarity.
