facility_id	prefecture	facility	status	product	manufacturer	evidence_type	evidence_url	note
B47-01	福岡県	櫛田学整形外科クリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01G2107003/5/0	MHLW confirms PRP treatment; no explicit kit/brand/manufacturer established.
B47-02	鹿児島県	医療法人慈圭会 八反丸リハビリテーション病院	HOLD_NO_BRAND	PRP		FACILITY_OFFICIAL_AND_MHLW_NO_EXPLICIT_BRAND	https://hattanmaru.jp/	Official hospital materials confirm PRP treatment; no explicit kit/brand/manufacturer established.
B47-03	兵庫県	医療法人雅 武富整形外科	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2308015/5/0	MHLW confirms PRP treatment; no explicit kit/brand/manufacturer established.
B47-04	埼玉県	医療法人社団祐慈会 井上整形外科クリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2305016/5/0	MHLW confirms PRP treatment; no explicit kit/brand/manufacturer established.
B47-05	大阪府	医療法人美喜有会 リペアセルクリニック	HOLD_NO_BRAND	PRP|脂肪由来幹細胞		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2603026/5/0	MHLW plans confirm regenerative treatment including PRP; no explicit PRP kit/brand/manufacturer established.
B47-06	愛知県	ふくだ整形外科骨粗しょう症スポーツクリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_AND_OFFICIAL_NO_EXPLICIT_BRAND	https://www.fukuda-seikeigeka.com/	Current official site and MHLW evidence confirm PRP context; no explicit kit/brand/manufacturer established.
B47-07	東京都	元浅草いけだクリニック	HOLD_NO_BRAND	PRP		FACILITY_OFFICIAL_NO_EXPLICIT_BRAND	https://ikeda-cl.org/	Current official site confirms PRP therapy; no explicit kit/brand/manufacturer established.
B47-08	東京都	医療法人社団順永会 目黒さこだ整形外科	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2603045/5/0	MHLW confirms PRP treatment; current official site confirms operation, but no explicit kit/brand/manufacturer established.
B47-09	滋賀県	一般社団法人スピナレピオス 淡海せぼねクリニック	HOLD_NO_BRAND	PRP		FACILITY_OFFICIAL_NO_EXPLICIT_BRAND	https://ohmi-sebone.com/	Current official site explicitly offers joint/spine PRP therapy; no explicit kit/brand/manufacturer established.
B47-10	神奈川県	横濱松宮整形外科リハビリテーションクリニック	HOLD_NO_BRAND	PRP		FACILITY_OFFICIAL_NO_EXPLICIT_BRAND	https://matsumiya-clinic.com/prp/	Current official PRP page confirms in-house PRP treatment but does not identify kit/brand/manufacturer.
B47-11	長野県	長野松代総合病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2310035/5/0	MHLW confirms PRP treatment; no explicit kit/brand/manufacturer established.
B47-12	兵庫県	木本整形外科クリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2511015/5/0	MHLW plans confirm PRP treatment; no explicit kit/brand/manufacturer established.
B47-13	埼玉県	埼玉整形外科スポーツクリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_AND_OFFICIAL_NO_EXPLICIT_BRAND	https://s-osc.jp/	Current official site confirms active clinic operation; MHLW plans confirm PRP treatment, but no explicit kit/brand/manufacturer established.
B47-14	大阪府	医療法人良花会 整形外科とくはらクリニック	CONFIRMED_NEW	ACP|APS|GPS III	Arthrex|Zimmer Biomet	FACILITY_OFFICIAL_EXPLICIT_MANUFACTURER	https://tokuhara-clinic.com/prp/	Current official PRP page explicitly lists ACP system as Arthrex, APS system as Zimmer Biomet, and GPS III as Zimmer Biomet.
B47-15	愛知県	ふくの森リハビリ整形外科	HOLD_NO_BRAND	PRP		FACILITY_OFFICIAL_NO_EXPLICIT_BRAND	https://fukunomori-seikei.com/menu/prp.html	Current official PRP page confirms treatment but does not identify kit/brand/manufacturer.
