facility_id	prefecture	facility	status	product	manufacturer	evidence_type	evidence_url	note
B28-01	東京都	いたばし整形外科関節クリニック	HOLD_PRP_GENERIC_ONLY			MHLW_EXACT_PLAN_PLUS_CURRENT_WEB_REVIEW	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2605016/5/0	Current plan confirms PRP; no branded kit/manufacturer found in current review.
B28-02	東京都	医療法人社団BODHI Dr.KAKUKOスポーツクリニック	HOLD_PRP_GENERIC_ONLY			MHLW_EXACT_PLAN_PLUS_CURRENT_WEB_REVIEW	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C1912059/5/0	Current/locked plan confirms PRP; no branded kit/manufacturer found.
B28-03	栃木県	医療法人一燈会 かみもとスポーツクリニック	HOLD_PRP_GENERIC_ONLY			MHLW_EXACT_PLAN_PLUS_CURRENT_WEB_REVIEW	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2302004/5/0	PRP treatment confirmed; no branded kit/manufacturer found.
B28-04	京都府	医療法人いちまる整形外科クリニック	HOLD_PRP_GENERIC_ONLY			CURRENT_MHLW_PLUS_WEB_REVIEW	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2307003/5/0	Current PRP plan(s) confirmed; no branded kit/manufacturer found.
B28-05	群馬県	医療法人秀躍会 もぎ整形外科クリニック	HOLD_PRP_GENERIC_ONLY			CURRENT_MHLW_PLUS_WEB_REVIEW	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2207022/5/0	Current PRP plan(s) confirmed; no branded kit/manufacturer found.
B28-06	埼玉県	まくり整形外科クリニック	HOLD_PRP_GENERIC_ONLY			MHLW_EXACT_PLAN_PLUS_CURRENT_WEB_REVIEW	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2305021/5/0	Current PRP plan confirmed; no branded kit/manufacturer found. Prior weak fuzzy match to another clinic remains rejected.
B28-07	埼玉県	医療法人社団祐慈会 井上整形外科クリニック	HOLD_PRP_GENERIC_ONLY			MHLW_EXACT_PLAN_PLUS_CURRENT_WEB_REVIEW	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2305016/5/0	Current PRP plan confirmed; no branded kit/manufacturer found.
B28-08	山口県	森山整形クリニック	HOLD_PRP_GENERIC_ONLY			MHLW_CURRENT_PLAN_PLUS_OFFICIAL_SITE_REVIEW	https://saiseiiryo.mhlw.go.jp/published_plan/download/01F2305003/5/0	Current third-class PRP plan/official-site trail reviewed; no branded kit/manufacturer found.
B28-09	新潟県	医療法人社団おおたに整形外科クリニック	HOLD_PRP_GENERIC_ONLY			CURRENT_MHLW_PLUS_WEB_REVIEW	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2605002/5/0	Current PRP plan(s) confirmed; no branded kit/manufacturer found.
B28-10	神奈川県	医療法人野球医学 ベースボール&スポーツクリニック	PROCESSING_OUTSOURCING_ONLY_NO_KIT_MAKER	PFC-FD	セルソース株式会社	CURRENT_OFFICIAL_PROCESSING_SERVICE		PFC-FD already tracked as CellSource processing-outsourcing; no separate branded PRP kit/manufacturer confirmed for canonical share.
