mhlw_plan_code	facility	amount	tax	unit	label	evidence_url	note	price_source	merge_status
01C2511020	THE HUNDRED	3300000	税込	1回	自己脂肪由来間葉系幹細胞を用いた腰痛治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2511020/5/0	Exact-plan MHLW document; cancellation-related fees excluded.	MHLW_EXACT_PLAN_RECOVERY	READY
02C2503061	一般社団法人日本オーラルヘルス協会 ミライズクリニック南青山	1290000	税込	初回・1関節	自家ASC関節治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2503061/5/0	Exact-plan MHLW fee table; long-term storage fee excluded.	MHLW_EXACT_PLAN_RECOVERY	READY
02C2503061	一般社団法人日本オーラルヘルス協会 ミライズクリニック南青山	1690000	税込	初回・2関節	自家ASC関節治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2503061/5/0	Exact-plan MHLW fee table; long-term storage fee excluded.	MHLW_EXACT_PLAN_RECOVERY	READY
02C2503061	一般社団法人日本オーラルヘルス協会 ミライズクリニック南青山	498000	税込	2回目以降・1関節	自家ASC関節治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2503061/5/0	Exact-plan MHLW fee table; long-term storage fee excluded.	MHLW_EXACT_PLAN_RECOVERY	READY
01C2601047	一般社団法人ＲＫミライ Rejoint Clinic Dr.K	1500000	税抜	今回の治療	自己脂肪由来間葉系幹細胞を用いた変形性関節症治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2601047/5/0	Exact-plan MHLW document.	MHLW_EXACT_PLAN_RECOVERY	READY
03C2606023	医療法人優美会 クリニック 渋谷	1100000	税抜	今回の治療	自己脂肪由来間葉系幹細胞を用いた靭帯・腱損傷治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2606023/5/0	Exact-plan MHLW document.	MHLW_EXACT_PLAN_RECOVERY	READY
02C2608035	医療法人社団 熊谷整形外科	5500000	税込	初回投与	ヒト自己脂肪組織由来間葉系幹細胞を用いた慢性疼痛緩和治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2608035/5/0	Exact-plan MHLW fee sheet; consultation, testing and frozen-storage fees excluded.	MHLW_EXACT_PLAN_RECOVERY	READY
02C2608035	医療法人社団 熊谷整形外科	4400000	税込	2回目以降投与	ヒト自己脂肪組織由来間葉系幹細胞を用いた慢性疼痛緩和治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2608035/5/0	Exact-plan MHLW fee sheet; consultation, testing and frozen-storage fees excluded.	MHLW_EXACT_PLAN_RECOVERY	READY
03C2305005	医療法人社団小﨑会 常盤台らいおん整形外科	132000	税込	1治療（採血＋投与2回分）	多血小板血漿（PRP）を用いた筋・腱・靭帯治療	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2305005/5/0	Exact-plan MHLW document.	MHLW_EXACT_PLAN_RECOVERY	READY
02C2406003	医療法人社団松和会 池上総合病院	4400000	税込	治療総額	膝関節軟骨損傷に対する自己軟骨細胞シート移植	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2406003/5/0	Exact-plan MHLW document; component breakdown and cancellation-stage liabilities are not emitted separately.	MHLW_EXACT_PLAN_RECOVERY	READY
01C2503047	医療法人社団紘朗会 麻布皮フ科クリニック	1350000	税込	片側・0.5億個	細胞移植費用	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503047/5/0	Exact-plan MHLW document; separate fat-harvesting component (150,000/300,000) and storage fees excluded from treatment-price rows.	MHLW_EXACT_PLAN_RECOVERY	READY
01C2503047	医療法人社団紘朗会 麻布皮フ科クリニック	2700000	税込	両側・0.5億個ずつ	細胞移植費用	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503047/5/0	Exact-plan MHLW document; separate fat-harvesting component (150,000/300,000) and storage fees excluded from treatment-price rows.	MHLW_EXACT_PLAN_RECOVERY	READY
