facility_id	prefecture	facility	core_source	status	product	manufacturer	evidence_type	evidence_url	note
B16-01	三重県	岩崎病院	v40:F0518	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 core; current Arthrex locator lists 岩崎病院 with ACP-PRP.
B16-02	三重県	社会福祉法人恩賜財団済生会松阪市民病院	v40:F0520	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 address 松阪市殿町1550番地 matches Zimmer APS locator.
B16-03	佐賀県	百武整形外科・スポーツクリニック	v40:F0012	ALREADY_CANONICAL	APS	Zimmer Biomet	CANONICAL_ALREADY_PRESENT	https://m.kansetsu-life.com/saisei/index.php	Already canonical for Zimmer Biomet; no increment.
B16-04	北海道	医療法人hokule'a fクリニックさっぽろ	v40:F0033	CONFIRMED_NEW	HD-PRP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator lists 医療法人hokule'a ｆクリニックさっぽろ with HD-PRP; exact core identity after NFKC normalization.
B16-05	北海道	医療法人スポキチ スポキチクリニック	v40:F0039	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator lists スポキチクリニック with ACP-PRP; unique Hokkaido match.
B16-06	北海道	医療法人社団 福亀会 札幌中央整形外科クリニック	v40:F0055	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator exact facility match; ACP-PRP.
B16-07	北海道	医療法人社団GOZEN ごうだ整形外科	v40:F0031	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator label ごうだ整形外科 is assigned to the exact main-facility name; North7 branch is not auto-assigned.
B16-08	北海道	医療法人社団GOZEN 北7条ごうだ整形外科	v40:F0032	HOLD_BRANCH_AMBIGUOUS	ACP	Arthrex	MANUFACTURER_LOCATOR_REVIEW	https://seikei-saisei.jp/institution.html	Arthrex locator has only ごうだ整形外科; insufficient branch-specific evidence for 北7条 branch.
B16-09	北海道	医療法人社団悠仁会 羊ヶ丘病院	v40:F0045	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator lists 羊ヶ丘病院 with ACP-PRP; unique facility match.
B16-10	北海道	医療法人社団松陽会 だい整形外科クリニック	v40:F0049	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator lists だい整形外科クリニック with ACP-PRP.
B16-11	北海道	医療法人社団福亀会 福住整形外科クリニック	v40:F0056	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator legal-prefix variant; ACP-PRP.
B16-12	宮城県	宮城整形外科 スポーツ・ウェルネスクリニック	v40:F0145	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Facility is already in v40 core F0145 (not a facility-core gap). Zimmer locator APS at 黒川郡大和町しあわせの杜8-11 matches core.
B16-13	熊本県	天草地域医療センター	v40:F0346	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Zimmer locator legal-prefix variant at exact address 天草市亀場町食場854-1.
B16-14	熊本県	にしくまもと病院	v40:F0343	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Zimmer locator legal-prefix variant at exact address 熊本市南区富合町古閑1012.
B16-15	熊本県	リハビリテーションセンター熊本回生会病院	v40:F0344	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Zimmer locator lists 医療法人回生会 リハビリテーションセンター 熊本回生会病院 at exact address 上益城郡嘉島町鯰1880.
B16-16	鹿児島県	クオラリハビリテーション病院あいら	v40:F0432	CONFIRMED_NEW	APS	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Zimmer locator legal-prefix variant at exact address 姶良市西餅田2300-1.
B16-17	高知県	医療法人 高尚会 川田整形外科	v40:F0426	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator lists 川田整形外科 with ACP-PRP; unique Kochi match.
B16-18	群馬県	医療法人KOSSMOS会 剣持整形外科	v40:F0392	CONFIRMED_NEW	ACP	Arthrex	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	Current Arthrex locator lists 剣持整形外科 with ACP-PRP; unique Gunma match.
