facility_id	prefecture	facility	status	product	manufacturer	evidence_type	evidence_url	note
B39-01	兵庫県	たちはら整形外科・肩とスポーツのクリニック	HOLD_NO_BRAND	PRP		FACILITY_OFFICIAL_AND_MHLW_NO_EXPLICIT_BRAND	https://tachihara-seikei.jp/	Official site confirms PRP therapy; no explicit kit/brand/manufacturer established.
B39-02	埼玉県	医療法人彰友会 小林整形外科	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2401026/5/0	MHLW plan confirms PRP; no explicit kit/brand/manufacturer established.
B39-03	大阪府	医療法人慶春会 福永記念診療所	HOLD_NO_BRAND	PRP		FACILITY_OFFICIAL_AND_MHLW_NO_EXPLICIT_BRAND	https://fukunaga-clinic.com/free/	Official site confirms regenerative medicine and MHLW plans include PRP; no explicit PRP kit/brand/manufacturer established.
B39-04	広島県	医療法人龍樹会 池田整形外科リハビリテーションクリニック	HOLD_NO_BRAND	PRP		FACILITY_OFFICIAL_AND_MHLW_NO_EXPLICIT_BRAND	https://ikeda-orthopedic-clinic.jimdofree.com/	Official site and MHLW plans confirm current clinic/PRP context; no explicit kit/brand/manufacturer established.
B39-05	東京都	一般社団法人再生医療皮膚科研究会 Tokyo Beauty Master Clinic.	HOLD_NO_BRAND	PRP		FACILITY_OFFICIAL_NO_EXPLICIT_BRAND	https://tbmstemcell.com/	Current official site confirms PRP treatment and filing; no explicit kit/brand/manufacturer established.
B39-06	東京都	医療法人社団紘朗会 麻布皮フ科クリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2505049/5/0	MHLW plan confirms PRP; no explicit kit/brand/manufacturer established.
B39-07	栃木県	医療法人一燈会 かみもとスポーツクリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2302004/5/0	MHLW plan confirms PRP; no explicit kit/brand/manufacturer established.
B39-08	神奈川県	医療法人野球医学 ベースボール&スポーツクリニック	HOLD_PROCESSING_OUTSOURCING_PLUS_NO_BRAND	PRP|PFC-FD		MHLW_AND_WATCHLIST	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2412054/5/0	MHLW confirms PRP; PFC-FD is already tracked as processing-outsourcing only. No explicit in-house PRP kit/brand/manufacturer established.
B39-09	長野県	サンマリーンクリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2506002/5/0	MHLW plan confirms PRP; no explicit kit/brand/manufacturer established.
B39-10	兵庫県	三輪整形外科クリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2101022/5/0	MHLW plans confirm PRP; no explicit kit/brand/manufacturer established.
