facility_id	prefecture	facility	status	product	manufacturer	evidence_type	evidence_url	note
B43-01	東京都	一般社団法人東京リライフ 東京リライフクリニック	HOLD_NO_BRAND	PRP|脂肪由来幹細胞		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2602047/5/0	MHLW plans confirm PRP/regenerative treatment, but no explicit PRP kit/brand/manufacturer was established.
B43-02	東京都	医療法人社団誠心会 Re:Born Clinic 銀座院	HOLD_NO_BRAND	PRP|脂肪由来幹細胞		FACILITY_OFFICIAL_AND_MHLW_NO_EXPLICIT_BRAND	https://reborn-clinic.com/treatment-flow/	Current official site confirms PRP therapy and dedicated processing equipment, but no explicit kit/brand/manufacturer was established.
B43-03	栃木県	医療法人親仁会 佐藤病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2306023/5/0	MHLW plans confirm PRP treatment, but no explicit kit/brand/manufacturer was established.
B43-04	神奈川県	東海大学医学部付属病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2604001/5/0	MHLW plan confirms PRP treatment, but no explicit kit/brand/manufacturer was established.
B43-05	長野県	医療法人都甲クリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2308046/5/0	MHLW plans confirm PRP treatment, but no explicit kit/brand/manufacturer was established.
B43-06	兵庫県	医療法人社団武部整形外科リハビリテーション	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2109006/5/0	MHLW plans confirm PRP treatment, but no explicit kit/brand/manufacturer was established.
B43-07	埼玉県	医療法人社団愛友会 三郷中央総合病院	CONFIRMED_NEW	GPS III|APS	Zimmer Biomet	MHLW_EXPLICIT_MANUFACTURER	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2412018/5/0	Exact MHLW explanation explicitly states GPS III and APS kits are both manufactured by ZIMMER BIOMET; current hospital page also describes GPS III/APS PRP therapy.
B43-08	大阪府	医療法人社団彦星会 健都よねだスポーツ整形外科	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2503011/5/0	MHLW plan confirms PRP treatment, but no explicit kit/brand/manufacturer was established.
B43-09	愛知県	HIME CLINIC	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2603004/5/0	MHLW plan confirms PRP treatment, but no explicit kit/brand/manufacturer was established.
B43-10	東京都	一般社団法人雲動会 あおぞらクリニック整形外科	HOLD_NO_BRAND	PRP|脂肪由来幹細胞		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2503018/5/0	MHLW plans confirm PRP/regenerative treatment, but no explicit kit/brand/manufacturer was established.
