plan_id,mhlw_plan_code,v41_lane,facility_id,prefecture,facility,category,treatment,treatment_class,status_source,status_normalized,postprocess_resolution,document_url,price_type,amount,amount_min,amount_max,tax,unit,products,makers,product_pair_method,postprocess_reason,score,page,excerpt,synthetic_postprocess
V41_01E2506011,01E2506011,B,V41F5062DFC89F,京都府,医療法人京都翔医会 西京都病院,第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_treatment_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506011/5/0,point,330000,,,不明,,Angel,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,6,12,"HD-PRP(Angel の場合) 150 億個 330,000 円 ACP-PRP は効果を高めるため、2 倍量1 度に投与することが可能です。その場合の 費用は以下の通りです。",False
V41_01E2506011,01E2506011,B,V41F5062DFC89F,京都府,医療法人京都翔医会 西京都病院,第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_treatment_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506011/5/0,point,55000,,,不明,,ACP,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,2,12,"ACP-PRP 20 億個 55,000 円 HD-PRP(ACP MAX の場合) 90 億個",False
V41_01E2506011,01E2506011,B,V41F5062DFC89F,京都府,医療法人京都翔医会 西京都病院,第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_treatment_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506011/5/0,point,209000,,,不明,,ACP MAX,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,2,12,"HD-PRP(ACP MAX の場合) 90 億個 209,000 円 HD-PRP(Angel の場合) 150 億個",False
V41_01E2506011,01E2506011,B,V41F5062DFC89F,京都府,医療法人京都翔医会 西京都病院,第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_treatment_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2506011/5/0,point,385000,,,不明,,,,context_token,treatment_label_nearest,2,12,"HD-PRP(2 部位) 150 億個 385,000 円 治療終了後も定期的な受診をお願いしております。 本治療は医療費控除の対象となる可能性があります。詳細は国税庁や税理士にご確",False
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,704000,,,不明,1回,Angel,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,5,7,"1回 374,000 円 Angel 1回 704,000 円 (3) 採血を開始してからのキャンセルについては、キャンセル費用をいただ きます。",False
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,88000,,,不明,片側,ACP,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,4,7,"PRP 片側 ACP 1回(1部位) 88,000 円 ACP MAX 1回(1部位) 187,000 円",False
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,187000,,,不明,1回(1部位),ACP MAX,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,4,7,"1回(1部位) 88,000 円 ACP MAX 1回(1部位) 187,000 円 Angel 1回(1部位) 352,000 円",False
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,352000,,,不明,1回(1部位),Angel,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,4,7,"1回(1部位) 187,000 円 Angel 1回(1部位) 352,000 円 PRP 両側 ACP MAX",False
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,374000,,,不明,両側,ACP MAX,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,4,7,"PRP 両側 ACP MAX 1回 374,000 円 Angel 1回 704,000 円",False
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,187000,,,不明,,ACP MAX,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,0,7,"PRP 片側 ACP 1回(1部位) 88,000 円 ACP MAX 1回(1部位) 187,000 円",True
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,352000,,,不明,,Angel,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,0,7,"1回(1部位) 88,000 円 ACP MAX 1回(1部位) 187,000 円 Angel 1回(1部位) 352,000 円",True
V41_03E2601002,03E2601002,C,V41FC3F967088F,京都府,"医療法人社団千春会
千春会ハイパーサーミアクリニック",第三種,自家多血小板血漿（Platelet-Rich Plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,QC,AUTO,structured_product_price_table,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2601002/5/0,point,704000,,,不明,,Angel,Arthrex,nearest_preceding_product_in_excerpt,treatment_label_nearest,0,7,"PRP 両側 ACP MAX 1回 374,000 円 Angel 1回 704,000 円",True
V41_01E2403019,01E2403019,D,V41FE5FC338D8F,京都府,医療法人社団蒼樹会　山本整形外科,第三種,多血小板血漿を用いた整形外科領域（関節腔内への投与を除く）の治療,PRP,QC,AUTO,single_clear_treatment_price,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2403019/5/0,point,165000,,,税込,,,,context_token,treatment_label_nearest,0,3,"細胞の提供に際して費用は発生しません。 治療の提供に際しては、本治療は公的保険の対象ではありませんので、当院所定の施術料として1回16 5,000円(税込)の金額をお支払いいただきます。 ※患者様の症状、投与場所や投与量、その他の事情等により治療費が変動する場合があります。 なお、細胞の採取後や加工後に同意を撤回された場合など、同意を撤回される時点までに費用が発生し",True
V41_01E2605002,01E2605002,A,V41F76A2E48646,京都府,医療法人社団親和会 京都木原病院,第三種,四肢の筋・腱・靱帯及びその付着部の傷害を対象とした自家多血小板血漿（PRP）注入療法,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605002/5/0,point,80000,,,不明,1回,MyCells,MyCells系,nearest_preceding_product_in_excerpt,treatment_label_nearest,8,,しんりょう ではなく自由 じゆう 診療 しんりょう のため、他 ほか の治療費 ちりょうひ が高額 こうがく になることがあります。 【1回 かい 当たり あ た り の治療費 ちりょうひ (税 ぜい 別 べつ )】 ) ・Mycells PRP キットを用いた もちいた 治療 ちりょう :8万円 まんえん ・Condensia PRP調製 ちょうせい キットを用いた もちいた 治療 ちりょう :8万円 まんえん ・GPS III L-PRP分離 ぶんり ・抽出 ちゅうしゅつ キットを用いた もちいた 治療 ちりょう :16万円 まんえん 治療 ちりょう を数回 すうかい 行 おこな うことがあります。一回あたりの治,False
V41_01E2605002,01E2605002,A,V41F76A2E48646,京都府,医療法人社団親和会 京都木原病院,第三種,四肢の筋・腱・靱帯及びその付着部の傷害を対象とした自家多血小板血漿（PRP）注入療法,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2605002/5/0,point,160000,,,不明,一回,GPS,Zimmer Biomet,nearest_preceding_product_in_excerpt,treatment_label_nearest,8,,ls PRP キットを用いた もちいた 治療 ちりょう :8万円 まんえん ・Condensia PRP調製 ちょうせい キットを用いた もちいた 治療 ちりょう :8万円 まんえん ・GPS III L-PRP分離 ぶんり ・抽出 ちゅうしゅつ キットを用いた もちいた 治療 ちりょう :16万円 まんえん 治療 ちりょう を数回 すうかい 行 おこな うことがあります。一回あたりの治療費 ちりょうひ が割引 わりびき されることがあります。 5.個人 こじん 情報 じょうほう 保護 ほ ご について あなたの個人 こじん 情報 じょうほう は法律 ほうりつ に基 もと づいて厳 きび しく保護 ほ ご ・管理 かん,False
V41_02E2306012,02E2306012,B,V41F6F203D8D1C,京都府,医療法人社団貴順会吉川病院,第三種,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた筋肉、腱、靭帯、筋膜の損傷及び慢性炎症の治療（関節外の軟部組織）,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2306012/5/0,point,33000,,,税込,1 回,,,context_token,treatment_label_nearest,9,,"康保険を使用することはできません。 (2) 本治療にかかる費用は、以下のとおりです。なお、費用は、1 回の治療に伴 う診査、PRP 作製のための採血にかかる費用、PRP 作製費用、注入にかか る費用の総額となります。左右両側に投与する場合は、2 回分です。 PRP 療法1回(1 部位) 33,000 円(消費税込) 11. 試料等の保存及び廃棄の方法 患者様から採取した血液と作製したPRP は、患者様ご自身の治療のみに 使用します。ただし、症例検討や学会発表を目的として、血液やPRP の測 定を行い、データを取得することがあります。 血液およびPRP は微量で全量を使用するため、保管はしません。治療に 用いない血",False
V41_02E2407035,02E2407035,C,V41FEE0559004F,京都府,医療法人社団順和会　京都下鴨病院,第三種,多血小板血漿(PRP)の投与によるスポーツ外傷を含む筋、腱、靱帯損傷治療,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407035/5/0,point,40000,,,税別,,Condensia,京セラ,nearest_preceding_product_in_excerpt,treatment_label_nearest,8,,"た施術および製造にかかった費用をお支払いいただ きます。 ・採血前に治療をとりやめた場合、費用のお支払いはございません。 ・採血後から投与までに治療をとりやめた場合、とりやめまでにかかった実費相当の費 用として、GPSIII キット使用時は80,000 円(税抜)を、condensia 使用時は40,000 円 (税抜)をお支払いいただきます。 また治療を行った後は、健康管理のために必要に応じて適切な検査を受けていただき、 医学的に問題がないかを確認させていただきます。 13. 個人情報の保護について 「個人情報の保護に関する法律」に基づき、当院には、個人情報取扱実施規程がありま す。この規程に基づき、患者さまの氏名や病気のこ",False
V41_02E2407035,02E2407035,C,V41FEE0559004F,京都府,医療法人社団順和会　京都下鴨病院,第三種,多血小板血漿(PRP)の投与によるスポーツ外傷を含む筋、腱、靱帯損傷治療,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407035/5/0,point,50000,,,税別,1 回,Condensia,京セラ,nearest_preceding_product_in_excerpt,treatment_label_nearest,8,,"治療にかかる費用について この治療は公的保険の対象ではありませんので、当病院所定の下記の施術料をお支払い いただきます。 ・ PRP を用いた治療(GPSIII キット使用)における施術料 100,000 円(税抜) ・ PRP を用いた治療(condensia 使用)における施術料 50,000 円(税抜) ご不明な点は医師・スタッフにお尋ねください。なお1 回の施術あたりの費用は、患部 の状態を確認した医師の判断、およびそれに応じたPRP 投与量等により変更となる場 合がございます。 第3 種 多血小板血漿(PRP)の投与によるスポーツ外傷を含む筋、腱、靱帯損傷治 療の説明文・同意文書 6 11. その他",False
V41_02E2407035,02E2407035,C,V41FEE0559004F,京都府,医療法人社団順和会　京都下鴨病院,第三種,多血小板血漿(PRP)の投与によるスポーツ外傷を含む筋、腱、靱帯損傷治療,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407035/5/0,point,80000,,,税別,,GPS,Zimmer Biomet,nearest_preceding_product_in_excerpt,treatment_label_nearest,8,,"本治療をとりやめた場合 には、とりやめた時点までに発生した施術および製造にかかった費用をお支払いいただ きます。 ・採血前に治療をとりやめた場合、費用のお支払いはございません。 ・採血後から投与までに治療をとりやめた場合、とりやめまでにかかった実費相当の費 用として、GPSIII キット使用時は80,000 円(税抜)を、condensia 使用時は40,000 円 (税抜)をお支払いいただきます。 また治療を行った後は、健康管理のために必要に応じて適切な検査を受けていただき、 医学的に問題がないかを確認させていただきます。 13. 個人情報の保護について 「個人情報の保護に関する法律」に基づき、当院には、個人情報取扱実施規程",False
V41_02E2407035,02E2407035,C,V41FEE0559004F,京都府,医療法人社団順和会　京都下鴨病院,第三種,多血小板血漿(PRP)の投与によるスポーツ外傷を含む筋、腱、靱帯損傷治療,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2407035/5/0,point,100000,,,税別,1 回,GPS,Zimmer Biomet,nearest_preceding_product_in_excerpt,treatment_label_nearest,8,,"llar Tendinopathy. Vol. 39, No. 6, 2011 より 10. 治療にかかる費用について この治療は公的保険の対象ではありませんので、当病院所定の下記の施術料をお支払い いただきます。 ・ PRP を用いた治療(GPSIII キット使用)における施術料 100,000 円(税抜) ・ PRP を用いた治療(condensia 使用)における施術料 50,000 円(税抜) ご不明な点は医師・スタッフにお尋ねください。なお1 回の施術あたりの費用は、患部 の状態を確認した医師の判断、およびそれに応じたPRP 投与量等により変更となる場 合がございます。 第3 種 多血小板血漿(PRP)の投",False
V41_03E2603014,03E2603014,D,V41FE04D46B809,京都府,医療法人藍整会　なか整形外科　京都西院リハビリテーションクリニック,第二種,多血小板血漿による関節症治療,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2603014/5/0,point,55000,,,税込,,,,context_token,treatment_label_nearest,9,2,"連絡先:075-950-5839 12.費用について この治療は公的保険の対象ではありませんので、当院所定の施術料として55,000円(税込)をお支払 いいただきます。 ※患者様の症状、その他の事情等により治療費が変動する場合があります。",False
V41_03E2603015,03E2603015,A,V41FE04D46B809,京都府,医療法人藍整会　なか整形外科　京都西院リハビリテーションクリニック,第三種,多血小板血漿を用いた靭帯・腱及び腱付着部の機能障害・疾患の治療,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2603015/5/0,point,33000,,,税込,,,,context_token,treatment_label_nearest,9,2,"連絡先:075-950-5839 12.費用について この治療は公的保険の対象ではありませんので、当院所定の施術料として33,000円(税込)をお支払い いただきます。 ※患者様の症状、その他の事情等により治療費が変動する場合があります。",False
V41_02E2505009,02E2505009,C,V41FF6B5A563C7,京都府,医療法人財団佐々木会　深江形成整形外科医院,第二種,自己脂肪由来幹細胞を用いた慢性疼痛の治療,脂肪由来幹細胞,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2505009/5/0,point,3300000,,,税込,1回,,,context_token,treatment_label_nearest,9,5,"本治療にかかる費用は、 1億個までの場合:1回分 2,750,000円(税込) 2億個までの場合:1回分 3,300,000円(税込) 同意を撤回された場合など、同意を撤回される時点までに発生した 費用(診察料、検査費、脂肪採取費、輸送費、加工費等)について",False
V41_03E2407009,03E2407009,B,V41FF6B5A563C7,京都府,医療法人財団佐々木会　深江形成整形外科医院,第二種,自己脂肪由来幹細胞を用いた変形性関節症の治療,脂肪由来幹細胞,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2407009/5/0,point,1650000,,,税込,,,,context_token,cell_dose_table,8,,"させていただきます。 再生医療事務局 電話番号:075-351-3245 12.費用について 本治療は保険適用外であるため、治療にかかる費用全額をご自分で ご負担いただきます。その他、本治療を受けるために必要となった 旅費、交通費などの全ての費用もご自分でご負担いただきます。 本治療にかかる費用は¥1,650,000円(税込)となっております。 なお、脂肪の採取後や、細胞加工物の製造後に同意を撤回された場 合など、同意を撤回される時点までに費用が発生している場合は、 発生した費用についてはあなたにご負担いただきますのでご了承く ださい。 13.他の治療法の有無、本治療法との比較について 変形性関節症の治療法には保存療法と手術療法の2つの方法があり ます",False
V41_03E2507006,03E2507006,B,V41FE5F303E2B0,京都府,医療法人財団康生会 たけだ膠原病リウマチクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた変形性膝関節症の治療,脂肪由来幹細胞,QC,AUTO,verified_official_site_override,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2507006/5/0,point,1195000,,,税込,"片膝・培養脂肪幹細胞 約3,000万個",培養脂肪由来幹細胞,,,verified_official_override,,,,False
V41_03E2507006,03E2507006,B,V41FE5F303E2B0,京都府,医療法人財団康生会 たけだ膠原病リウマチクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた変形性膝関節症の治療,脂肪由来幹細胞,QC,AUTO,verified_official_site_override,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2507006/5/0,point,1587500,,,税込,片膝・培養脂肪幹細胞 約1億個,培養脂肪由来幹細胞,,,verified_official_override,,,,False
V41_03E2507006,03E2507006,B,V41FE5F303E2B0,京都府,医療法人財団康生会 たけだ膠原病リウマチクリニック,第二種,自家脂肪組織由来の培養間葉系幹細胞を用いた変形性膝関節症の治療,脂肪由来幹細胞,QC,AUTO,verified_official_site_override,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2507006/5/0,point,1735000,,,税込,"両膝同時・約5,000万個ずつ",培養脂肪由来幹細胞,,,verified_official_override,,,,False
V41_03E2507007,03E2507007,D,V41FE5F303E2B0,京都府,医療法人財団康生会 たけだ膠原病リウマチクリニック,第二種,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2507007/5/0,point,55000,,,税込,2 回分,,,context_token,treatment_label_nearest,9,,"診療であり、健康保険を使用することはできません。 (2) 本治療にかかる費用は、以下のとおりです。なお、費用は、治療に伴う診査、PRP 調製 のための採血にかかる費用、PRP 調製費用、注入にかかる費用の総額となります。左右 両側に投与する場合は、2 回分です。 (関節)PRP1 回・1 部位:\ 55,000 円(税込) 3 回セット 150,000 円(税込) 11. 試料等の保存及び廃棄の方法 患者様から採取した血液と作製したPRP は、患者様ご自身の治療のみに使用します。た だし、症例検討や学会発表を目的として、血液やPRP の測定を行い、データを取得するこ とがあります。 血液およびPRP は微量で全量を使用するため、保管はしません。治療",False
V41_03E2507007,03E2507007,D,V41FE5F303E2B0,京都府,医療法人財団康生会 たけだ膠原病リウマチクリニック,第二種,自家多血小板血漿（Platelet-rich plasma：PRP）を用いた慢性関節炎の治療（関節内組織）,PRP,AUTO,AUTO,source_status_retained,https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2507007/5/0,point,150000,,,税込,2 回分,,,context_token,treatment_label_nearest,9,,"ません。 (2) 本治療にかかる費用は、以下のとおりです。なお、費用は、治療に伴う診査、PRP 調製 のための採血にかかる費用、PRP 調製費用、注入にかかる費用の総額となります。左右 両側に投与する場合は、2 回分です。 (関節)PRP1 回・1 部位:\ 55,000 円(税込) 3 回セット 150,000 円(税込) 11. 試料等の保存及び廃棄の方法 患者様から採取した血液と作製したPRP は、患者様ご自身の治療のみに使用します。た だし、症例検討や学会発表を目的として、血液やPRP の測定を行い、データを取得するこ とがあります。 血液およびPRP は微量で全量を使用するため、保管はしません。治療に用いない血液ま たはPRP が生じた場合",False
