facility_id	prefecture	facility	status	product	manufacturer	evidence_type	evidence_url	note
B52-01	大阪府	CELL GRAND CLINIC	HOLD_NO_BRAND	PRP|脂肪由来幹細胞		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2412017/5/0	MHLW plans confirm regenerative treatment including PRP; no explicit PRP kit/brand/manufacturer established.
B52-02	大阪府	大阪梅田セルクリニック	HOLD_NO_BRAND	PRP|脂肪由来幹細胞		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/02E2309002/5/0	MHLW plans confirm regenerative treatment including PRP; no explicit PRP kit/brand/manufacturer established.
B52-03	愛知県	医療法人社団福祉会 高須病院	HOLD_NO_BRAND	PRP|脂肪由来MSC		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2405005/5/0	MHLW plans confirm regenerative treatment including PRP; no explicit PRP kit/brand/manufacturer established.
B52-04	東京都	医療法人社団KRMG 東京ヴェインクリニック	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2301038/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
B52-05	東京都	学校法人藤田学園 藤田医科大学 羽田クリニック	HOLD_NO_BRAND	PRP|その他MSK|脂肪由来幹細胞		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/03C2603036/5/0	MHLW plans confirm regenerative treatment including PRP; no explicit PRP kit/brand/manufacturer established.
B52-06	石川県	医療法人社団まえだクリニック まえだ整形外科 骨・関節クリニック	CONFIRMED_NEW	ACP|ACP MAX	Arthrex	MHLW_EXPLICIT_MANUFACTURER	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2601002/5/2	Exact MHLW attachment explicitly states both ACP and ACP MAX are manufactured by Arthrex.
B52-07	福井県	春江病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/03E2511007/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
B52-08	静岡県	国立大学法人浜松医科大学 浜松医科大学医学部附属病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2504001/5/0	MHLW plans confirm PRP treatment; no explicit kit/brand/manufacturer established.
B52-09	千葉県	医療法人社団オルソプラス むらた整形外科	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2409051/5/0	MHLW plans confirm PRP treatment; no explicit kit/brand/manufacturer established.
B52-10	大阪府	ONE CLINIC 梅田	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2112013/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
B52-11	大阪府	桃谷うすい整形外科	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01E2402008/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
B52-12	愛知県	医療法人蜂友会 はちや整形外科病院	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/03D2605008/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
B52-13	東京都	医療法人社団ことのは 両国きたむら整形外科	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2606060/5/0	MHLW plan confirms PRP treatment; no explicit kit/brand/manufacturer established.
B52-14	東京都	慶應義塾大学病院	CONFIRMED_NEW	GPS III	Zimmer Biomet	MHLW_EXPLICIT_MANUFACTURER	https://saiseiiryo.mhlw.go.jp/published_plan/download/02C2605038/5/0	Exact MHLW explanation states leukocyte-rich PRP is prepared using Zimmer Biomet GPS III system.
B52-15	石川県	特定医療法人社団勝木会 やわたメディカルセンター	HOLD_NO_BRAND	PRP		MHLW_CURRENT_NO_EXPLICIT_BRAND	https://saiseiiryo.mhlw.go.jp/published_plan/download/01D2405007/5/0	MHLW plans confirm PRP treatment; no explicit kit/brand/manufacturer established.
