mhlw_plan_code	amount	amount_min	amount_max	tax	unit	product	maker
01C2409054	450000			不明	両側	Angel	Arthrex
01C2409054	50000			不明	片側	ACP	Arthrex
01C2409054	300000			不明	両側	Angel	Arthrex
01C2312021	990000			不明	0.5〜1億cells・1回投与	脂肪由来幹細胞	
01C2312020	990000			税込			
01C2312020	990000			不明	1 回		
02C1911105	600000			不明			
02C1911105	800000			不明			
01C2110046	1280000			税別	1回		
01C2110047	1280000			税別	1回		
02C2202019	100000			税別		GPS	Zimmer Biomet
02C2202019	300000			税別		APS	Zimmer Biomet
03C2203019	100000			税別		GPS	Zimmer Biomet
01C2506055	2000000			税別	本治療	自己末梢血由来単核細胞	
03C2606046	1650000			税込	1回		
03C2410030	3509000			税込	1回		
01C2603012	45000			税込	両側		
01C2508073	254100			税込	PRP投与・1回	PRP	
01C2508074	254100			税込	PRP投与・1回	PRP	
01C2603057	2200000			不明	片側・5,000万個	脂肪由来幹細胞	
01C2603057	3300000			不明	片側・1億個	脂肪由来幹細胞	
01C2603057	3300000			不明	両側合計・1億個	脂肪由来幹細胞	
01C2603057	5500000			不明	両側合計・2億個	脂肪由来幹細胞	
03C2305004	198000			税込	2 回		
02C2206037	120000			不明		GPS	Zimmer Biomet
01C2407032	55000			税込		ACP	Arthrex
01C2407032	150000			税込		GPS	Zimmer Biomet
01C2503066	77000			税込		ACP	Arthrex
01C2503066	132000			税込		ACP	Arthrex
01C2503066	220000			税込		ACP MAX	Arthrex
01C2509003	77000			税込		ACP	Arthrex
01C2509003	132000			税込		ACP	Arthrex
01C2509003	220000			税込		ACP MAX	Arthrex
02C2606097	50000			不明	一部位	MyCells	MyCells系
03C2305035	50000			税別		MyCells	MyCells系
01C2604065	50000			税込	1回		
01C2604065	55000			税込	1回		
03C2207011	26000			税別	1回	MyCells	MyCells系
03C2207011	150000			税別	1回	GPS	Zimmer Biomet
03C2405010	100000			不明		GPS	Zimmer Biomet
01C1911015	60000			不明			
02C2510020	50000			税込		ACP	Arthrex
02C2510020	120000			税込		PEAK	PEAK系
02C2510020	300000			税込		APS	Zimmer Biomet
01C1908039	30000			税別			
01C1908039	60000			税別			
02C2410054	45000			税込		Condensia	京セラ
02C2410054	150000			税込		GPS	Zimmer Biomet
02C2410054	330000			税込		APS	Zimmer Biomet
02C2410056	45000			税込		Condensia	京セラ
02C2410056	150000			税込		GPS	Zimmer Biomet
02C2410056	330000			税込		APS	Zimmer Biomet
01C2309002	33000			税込			
01C2309002	66000			税込			
01C2401012	30000			税別			
01C2401012	50000			税別			
01C2511011	2200000			税込			
01C2511011	2100000			不明			
01C2511037	120000			不明	1部位	GPS	Zimmer Biomet
01C2512021	120000			税別	1部位	GPS	Zimmer Biomet
01C2512021	300000			税別	1部位	APS	Zimmer Biomet
01C2405036	2200000			税込	1回		
01C2406018	2090000			不明			
01C2406018	5720000			不明			
01C2406018	880000			税込			
01C2406018	1210000			税込			
01C2406018	1375000			税込			
01C2406018	2090000			税込			
02C2605071	2210000			税別	培養費用・投与費用	自家培養脂肪由来間葉系幹細胞	
01C2608003	300000			不明	片側	ACP MAX	Arthrex
01C2608003	80000			不明	片側	ACP	Arthrex
01C2608004	300000			不明	片側	ACP MAX	Arthrex
01C2608004	80000			不明	片側	ACP	Arthrex
01C2602025	550000			税込	1回		
02C2507007	100000			税別		GPS	Zimmer Biomet
02C2507007	300000			税別		APS	Zimmer Biomet
02C2507008	100000			税別			
03C2510027	1287000			税込			
03C2510027	1749000			税込			
02C2602018	1287000			税込			
02C2602018	1749000			税込			
01C2503056	88000			税込	筋・腱・靭帯への注入・PRP 4mL	PRP	
01C2407028	100000			不明			
01C2407028	200000			不明			
01C2509061	1100000			税込	1 部位		
01C2509061	1323300			税込	1 部位		
01C2509061	2423300			税込	1 部位		
01C2505053	165000			不明	1回	PRGF-Endoret	BTI
02C2608020	3575000			税込	1回	脂肪由来幹細胞	
02C2002036	150000			税別			
02C2002036	700000			税別			
02C2002036	1000000			税別			
02C2001047	320000			税別		APS	Zimmer Biomet
01C2505049	55000			税込	1回		
01C2005002	110000			不明			
01C2207058	33000			税込			
01C2207058	66000			税込			
01C2006008	1000000			不明	片膝・1×10^7 cells	自家脂肪由来幹細胞	
01C2006008	1400000			不明	片膝・1×10^8 cells	自家脂肪由来幹細胞	
01C2602027	55000			税込	両側		
01C2602027	55000			税込	1回		
01C2602027	165000			税込	1回		
01C1902050	150000			税別		GPS	Zimmer Biomet
01C1906008	300000			税別		APS	Zimmer Biomet
02C2601007	1100000			税込			
02C2601007	1540000			税込			
02C2601007	2090000			税込			
02C2601007	2640000			税込			
02C2407061	1100000			税込			
02C2407061	1540000			税込			
02C2407061	2090000			税込			
02C2407061	2640000			税込			
02C2509032	2200000			税込	1回	脂肪由来幹細胞	
02C2509040	275000			税込	1回	PRP	
02C2509048	2508000			税込	5,000万個まで・1回	脂肪由来幹細胞	
02C2509048	3762000			税込	1億個まで・1回	脂肪由来幹細胞	
02C2501001	16500			税込	PRP初回注入・片膝	PRP	
02C2501001	82500			税込	PRP 2回目以降・片膝	PRP	
02C2512006	1336500			税込	片膝・初回モデル総額（初診+検査+6億セル培養+1回移植+年保管）	脂肪由来幹細胞	
02C2512006	715000			税込	片膝・追加1回移植	脂肪由来幹細胞	
01C2507054	198000			税込	1 回		
01C2507055	198000			税込	1 回		
01C2509044	1100000			税込	1 部位		
01C2409068	55000			税込	ACP-PRP・1回	ACP	Arthrex
01C2409070	55000			税込	ACP-PRP・1回	ACP	Arthrex
02C2101009	150000			税別	1回	GPS	Zimmer Biomet
02C2101009	350000			税別	1回	APS	Zimmer Biomet
02C2101009	70000			税別		APS	Zimmer Biomet
02C2101010	90000			税別	1回		
01C1907070	44000			税込	筋・腱・靭帯への注入・PRP 2mL	PRP	
01C1907070	66000			税込	筋・腱・靭帯への注入・PRP 3mL	PRP	
01C1907070	88000			税込	筋・腱・靭帯への注入・PRP 4mL	PRP	
03C2310050	90000			不明	1 部位		
02C2604069	165000			税込	1回		
01C2407053	300000			税込	1 回		
02C2404031	150000			不明	採血80ml・PRP約8ml	PRP	
02C2404031	210000			不明	採血120ml・PRP約12ml	PRP	
02C2404036	30000			不明	採血10ml・PRP約1ml	PRP	
02C2404036	45000			不明	採血20ml・PRP約2ml	PRP	
01C2209017	143000			税込	1部位・1回	PRP	
03C2305006	165000			税込	一部位		
03C2305006	275000			税込	一部位		
01C2504021	50000			税別		ACP	Arthrex
01C2504021	150000			税別		ACP MAX	Arthrex
01C2504021	95000			税別		ACP	Arthrex
01C2504022	50000			税別		ACP	Arthrex
01C2504022	150000			税別		ACP MAX	Arthrex
01C2504022	95000			税別		ACP	Arthrex
01C1906024	500000			税別			
01C1906016	600000			税別			
01C2011007	60000			税別			
02C2601084	150000			税込	1 回	ACP MAX	Arthrex
02C2601084	253000			税込	1 回	APS	Zimmer Biomet
01C2302066	88000			税込	関節内・1回	PRP	
01C2106016	33000			税込	一部位		
03C2603036	800000			税込	2 回		
03C2603037		1650000	3300000	税込	自家脂肪由来間葉系幹細胞培養＋注射	脂肪由来幹細胞	
03C2603038	9000000			不明	軟骨組織採取＋ACC移植・片膝	ACC	
03C2603038	4500000			不明	ACC再移植・片膝	ACC	
01C2510040	50000			税込	1 回	Condensia	京セラ
03C2510006	350000			税別		GPS	Zimmer Biomet
03C2510006	450000			税別		APS	Zimmer Biomet
01C2506017	500000			税別	1関節・1回投与	脂肪由来幹細胞	
01C2506017	700000			税別	1関節・2回投与	脂肪由来幹細胞	
02C2503038	33000			税込			
02C2512068	88000			税込	1回・1部位	PRP	
01C2503078	50000			税別	1 回(1 部位)	ACP	Arthrex
01C2503078	35000			税別		ACP	Arthrex
01C2503078	150000			不明	1 回(1 部位)	ACP MAX	Arthrex
01C2503078	35000			不明	1 回(1 部位)	ACP	Arthrex
01C2503078	95000			不明	1 回(1 部位)	ACP	Arthrex
01C2503079	50000			税別	1 回	ACP	Arthrex
01C2503079	35000			税別		ACP	Arthrex
01C2503079	150000			不明	1 回	ACP MAX	Arthrex
01C2503079	35000			不明	1 回	ACP	Arthrex
01C2503079	95000			不明	1 回	ACP	Arthrex
02C2601034	330000			税込	1回(片側)		
02C2601034	550000			税込	1回(片側)		
02C2309037	30000			税込	1 回	ACP	Arthrex
02C2309037	500000			税込		Angel	Arthrex
03C2604023	74800			税込	1 回		
02C2302016	220000			税込			
03C2412023	50000			税別	2 回分		
03C2412027	30000			税別	2 回分		
03C2412024	180000			税別	1 回	GPS	Zimmer Biomet
03C2412024	350000			税別	1 回	APS	Zimmer Biomet
03C2412025	180000			税別	1 回	GPS	Zimmer Biomet
01C2002036	150000			不明		GPS	Zimmer Biomet
01C2002036	300000			不明		APS	Zimmer Biomet
01C2603069	55000			税込			
01C2603071	55000			税込			
01C2403007	25000			税込	1回・1部位	PRP	
01C2403007	45000			税込	1回・2部位	PRP	
01C2003033	70000			不明		GPS	Zimmer Biomet
02C2203008	77000			税込		GPS	Zimmer Biomet
02C2203008	80000			税込		PEAK	PEAK系
02C2203008	330000			税込		APS	Zimmer Biomet
01C2509004	50000			税込	1回		
01C2509004	55000			税込	1回		
01C2508064	60500			税込	1関節・1部位	ACP	Arthrex
01C2508064	110000			税込	1関節・1部位・ACPダブル	ACP	Arthrex
01C2508064	209000			税込	1関節・1部位	ACP MAX	Arthrex
01C2508067	55000			税別		ACP	Arthrex
01C2508067	100000			税別		ACP	Arthrex
01C2508067	190000			税別		ACP MAX	Arthrex
01C2603053	50000			税別	1回	ACP	Arthrex
01C2603053	120000			税別	1回	GPS	Zimmer Biomet
01C2603053	180000			税別	1回	ACP	Arthrex
01C2603059	50000			税別	1回	ACP	Arthrex
01C2603059	120000			税別	1回	GPS	Zimmer Biomet
01C2603059	180000			税別	1回	ACP	Arthrex
01C2603059	300000			税別	1回	APS	Zimmer Biomet
02C2602063	150000			税別		GPS	Zimmer Biomet
02C2602063	300000			税別		APS	Zimmer Biomet
02C1909198		20000	150000	税別	PRP・1回	PRP	
03C2502007	30000			税別	2 回分		
03C2506013	55000			税込			
03C2310002	100000			税別	1回		
02C1910144	20000			税別			
02C1910144	40000			税別			
02C2111033	15000			不明			
01C2507072	55000			不明			
01C2407094	1980000			税込	5,000万個・1椎間・1回	脂肪由来幹細胞	
01C2407094	2310000			税込	5,000万個・2椎間・1回	脂肪由来幹細胞	
01C2407094	2640000			税込	5,000万個・3椎間・1回	脂肪由来幹細胞	
01C2407094	2530000			税込	1億個・1椎間・1回	脂肪由来幹細胞	
01C2407094	2860000			税込	1億個・2椎間・1回	脂肪由来幹細胞	
01C2407094	3190000			税込	1億個・3椎間・1回	脂肪由来幹細胞	
01C2506023	1650000			税込	自己脂肪由来間葉系幹細胞1億個・1部位（片側）	脂肪由来幹細胞	
01C2506023	2200000			税込	膝・肩・手関節 2部位（両側）	脂肪由来幹細胞	
03C2410026	50000			不明	6回	MyCells	MyCells系
03C2410026	150000			不明	6回	GPS	Zimmer Biomet
03C2410026	170000			不明	6回	GPS	Zimmer Biomet
03C2410026	400000			不明	6回	APS	Zimmer Biomet
03C2410026	750000			不明	6回	APS	Zimmer Biomet
01C2406033	55000			税込	1回	ACP	Arthrex
01C2512048	80000			税別	1部位	GPS	Zimmer Biomet
01C2512048	120000			税別	1部位	GPS	Zimmer Biomet
01C2601001	80000			税別	1部位	GPS	Zimmer Biomet
01C2601001	120000			税別	1部位	GPS	Zimmer Biomet
01C2601001	240000			税別	1部位	APS	Zimmer Biomet
01C2601001	300000			税別	1部位	APS	Zimmer Biomet
01C2503076	50000			税別	1 回	ACP	Arthrex
01C2503076	35000			税別		ACP	Arthrex
01C2503076	150000			不明	1 回	ACP MAX	Arthrex
01C2503076	35000			不明	1 回	ACP	Arthrex
01C2503076	95000			不明	1 回	ACP	Arthrex
01C2503077	50000			税別	1 回(1 部位)	ACP	Arthrex
01C2503077	35000			税別		ACP	Arthrex
01C2503077	150000			不明	1 回(1 部位)	ACP MAX	Arthrex
01C2503077	35000			不明	1 回(1 部位)	ACP	Arthrex
01C2503077	95000			不明	1 回(1 部位)	ACP	Arthrex
03C2606011	1760000			税別			
03C2606016	214500			不明	1 回	Condensia	京セラ
03C2606016	264000			不明	1 回	MyCells	MyCells系
01C2602054	3650000			税込	1回		
01C2602054	6200000			税込	1回		
01C2602054	11300000			税込	1回		
02C2503035	77000			税込	1 回	ACP	Arthrex
02C2503035	440000			税込		ACP MAX	Arthrex
03C2308020	50000			税別	関節内・1回	PRP	
03C2308021	30000			不明	一部位		
03C2609013	200000			税別			
03C2609013	400000			税別			
03C2609016	26400			不明	PRP注射・1回	PRP	
03C2609016	52800			不明	PRP注射・両膝	PRP	
03C2609017	300000			不明		APS	Zimmer Biomet
02C2604007	35000			税別		MyCells	MyCells系
02C2604007	75000			税別		GPS	Zimmer Biomet
02C2502053	55000			税込	PRP療法・1回	PRP	
01C2307023	165000			税込	1治療・2回投与	PRP	
02C2604078	77000			税込	1回		
02C2604078	138000			税込	1回		
02C2604078	198000			税込	1回		
01G2512005	1800000			税別	1 回		
01G2512005	3000000			税別	1 回		
01G2512005	4200000			税別	1 回		
02G2503013	100000			不明		GPS	Zimmer Biomet
02G2001025	200000			税別	1部位		
02G2602005	50000			税別	PRP 1回・当院整形外科術後患者または学生	PRP	
02G2602005	80000			税別	PRP 1回・その他	PRP	
01E2408020	44000			税込	1 回(1 部位)		
01E2408021	33000			税込	両側		
01E2307012	35000			税込	両側		
02E2512024	55000			税込		ACP	Arthrex
02E2512024	132000			税込		ACP MAX	Arthrex
01E2405012	55000			税込			
01E2404003	50000			税別	1回		
02G2511005	90000			税別	1回		
03G2506012	1750000			税別	ADRCs細胞治療	ADRCs	
01D2408001	40000			税別	2回		
01D2408001	50000			税別	2回		
03D2512001	45000			税込			
03C2607012	33000			税込	2 回分	ACP	Arthrex
03C2607012	198000			税込	2 回分	PEAK	PEAK系
03C2604033	50000			不明			
03C2604033	400000			税別			
01C2602018	36000			税込	1 回	ACP	Arthrex
01C2602018	39600			税込	1 回	ACP	Arthrex
01C2602018	180000			税込	1 回	ACP MAX	Arthrex
01C2602018	198000			税込	1 回	ACP MAX	Arthrex
01C2602018	150000			税込	1 回	GPS	Zimmer Biomet
01C2602018	165000			税込	1 回	GPS	Zimmer Biomet
01C2602018	350000			税込	1 回	APS	Zimmer Biomet
01C2602018	385000			税込	1 回	APS	Zimmer Biomet
01C2602021	36000			税込	1 回	ACP	Arthrex
01C2602021	39600			税込	1 回	ACP	Arthrex
01C2602021	150000			税込	1 回	GPS	Zimmer Biomet
01C2602021	165000			税込	1 回	GPS	Zimmer Biomet
01C2602021	180000			税込	1 回	ACP MAX	Arthrex
01C2602021	198000			税込	1 回	ACP MAX	Arthrex
02C1910113	295000			不明		APS	Zimmer Biomet
01C2605011	80000			税別	1 回	MyCells	MyCells系
01C2605012	80000			税別	1 回	MyCells	MyCells系
01C2310010	33000			税込			
01C2310010	66000			税込			
01C2512039	45000			税込	1回・1部位	PRP	
01C2512043	45000			税込	1回・1部位	PRP	
01C2105005	40000			税別	2 回分		
01C2108035	30000			税込	一部位		
02C2409002	165000			税込	1部位		
02C2409002	286000			税込	1部位		
02C2409003	165000			税込	1 回		
02C2409003	286000			税込	1 回		
01C1909033	150000			不明		GPS	Zimmer Biomet
01C1909033	300000			不明		APS	Zimmer Biomet
01C1909034	80000			不明		GPS	Zimmer Biomet
01C2302050	50000			税込	2 回分		
01C2302051	50000			税込	2 回分		
01C2602011	80000			税込	1 回	Condensia	京セラ
01C2602012	80000			税込	1 回	Condensia	京セラ
01C2310016	30000			税別	1 回	ACP	Arthrex
01C2310016	150000			税別	1 回	GPS	Zimmer Biomet
02C2506011	40000			税別	1回	ACP	Arthrex
02C2506011	150000			税別	1回	GPS	Zimmer Biomet
02C2506011	200000			税別	1回	ACP	Arthrex
02C2506011	300000			税別	1回	APS	Zimmer Biomet
01C2410005	165000			税別	1クール・採血＋2回注射	PRP	
02C2411022	40000			税別	1回		
01C2508047	110000			税込			
01C2303041	55000			税込	ACP・1回あたり	ACP	Arthrex
01C2303041	330000			税込	APS・1回	APS	Zimmer Biomet
01C2303050	55000			税込	ACP・1回	ACP	Arthrex
01C2303050	330000			税込	APS・1回	APS	Zimmer Biomet
01C2305022	88000			税込	1関節	PRP	
01C2305023	44000			税込	1回		
03C2409021	40000			税別			
01C2410057	110000			税込	1 回		
01C2410058	55000			税込	両側		
01C2410058	99000			税込	両側		
01C2406054	65000			税別	1 回	TriCeLL	TriCeLL系
03C2604006	300000			税込		APS	Zimmer Biomet
03C2607029	55000			税込	1 回	ACP	Arthrex
02C1910206	100000			税別			
02C1912019	300000			税別		APS	Zimmer Biomet
02C2508001	33000			税込	2 回分		
02C2508002	44000			税込	2 回分		
01C1912052	30000			不明			
01C1912052	50000			不明			
03C2305018	250000			不明	3 回分		
01C2107014	2200000			税込	1回		
01C2408062	50000			税別	1 回	ACP	Arthrex
01C2408062	250000			税別		Angel	Arthrex
01C2408063	50000			税別	1 回	ACP	Arthrex
01C2408063	250000			税別		Angel	Arthrex
01C2303044	45000			税別	一部位		
01C2008023	26000			税別	1回	MyCells	MyCells系
01C2008023	150000			税別	1回	GPS	Zimmer Biomet
01C2009074	26000			税別		MyCells	MyCells系
01C2009074	150000			税別	1回	GPS	Zimmer Biomet
01C2009074	90000			税別		GPS	Zimmer Biomet
03C2305019	150000			不明	変形性膝関節症PRP・標準治療費	PRP	
02C2604080	50000			税別	スモールスピッツ約10ml・1本	PRP	
02C2604080	70000			税別	ラージスピッツ約20ml・1本	PRP	
03C2111004	25000			税別	スモールスピッツ約10ml・1本	PRP	
03C2111004	35000			税別	ラージスピッツ約20ml・1本	PRP	
01C2209020	44000			税込	2 回分		
01C2209020	55000			税込	2 回分		
02C1906040	46200			不明	ACP	ACP	Arthrex
02C1906040	143000			不明	Waqoo・シングル	Waqoo	
02C1906040	187000			不明	Waqoo・ダブル	Waqoo	
02C2603036	1287000			税込			
02C2603036	1749000			税込			
03C2504060	200000			税別			
03C2504061	200000			税別	一部位		
02C2001097	30000			不明	1回	ACP	Arthrex
01C2410043	350000			不明	両側	Angel	Arthrex
01C2410043	40000			不明	片側	Condensia	京セラ
01C2410043	220000			不明	両側	Angel	Arthrex
01C2410043	40000			不明		ACP	Arthrex
01C2411083	360000			不明	両側	Angel	Arthrex
01C2411083	50000			不明	片側	Condensia	京セラ
01C2411083	230000			不明	両側	Angel	Arthrex
01C2411083	50000			不明		ACP	Arthrex
01C2605036	44600			税込	ACP・一般	ACP	Arthrex
01C2605036	35000			税込	ACP・学生	ACP	Arthrex
01C2605036	190000			税込	ACP MAX・一般	ACP MAX	Arthrex
01C2605036	165000			税込	ACP MAX・学生	ACP MAX	Arthrex
01C2605036	295000			税込	Angel PRP・1部位	Angel	Arthrex
01C2605036	415000			税込	Angel PRP・2部位	Angel	Arthrex
01C2605036	600000			税込	Angel PRP・3部位	Angel	Arthrex
01C2605037	34700			税込	ACP・一般	ACP	Arthrex
01C2605037	29000			税込	ACP・学生	ACP	Arthrex
01C2605037	160000			税込	ACP MAX・一般	ACP MAX	Arthrex
01C2605037	135000			税込	ACP MAX・学生	ACP MAX	Arthrex
01C2605037	215000			税込	Angel PRP・一般/学生	Angel	Arthrex
03C2310079	150000			不明		GPS	Zimmer Biomet
01C2006014	40000			税別	1回		
03C2412021	300000			不明	3 回分		
01C2606028	77000			税込	1回	Condensia	京セラ
01C2606029	77000			税込	1回	Condensia	京セラ
02C2602044	160000			税込	1 回		
02C2602044	176000			税込	1 回		
02C2603016	60000			税込	1回		
02C2603016	66000			税込	1回		
01C2502023	35000			税込	PRP・1回	ACP	Arthrex
01C2502023	70000			税込	PRP・左右両側・1回	ACP	Arthrex
02C2411019	30000			税別	1回		
01C2604046	95000			税別	1部位	GPS	Zimmer Biomet
01C2604046	120000			税別	1部位	GPS	Zimmer Biomet
01C2206044	44000			税込	1回		
02C1911221	35000			税別	1回		
03C2508002	330000			不明	1回	APS	Zimmer Biomet
02C1905075	20000			税込			
01C2512015	70000			税込	1 回	Condensia	京セラ
01C2512016	70000			税込	1 回	Condensia	京セラ
02C1911192	40000			不明			
03C2412016	33000			税込		ACP	Arthrex
03C2412016	132000			税込		GPS	Zimmer Biomet
02C2607021	120000			税込	1 回		
03C2210001	100000			不明			
03C2210001	300000			不明			
01C2503019	381700			税込	関節内・1回	APS	Zimmer Biomet
01C2503019	178200			税込	関節内・1回	GPS	Zimmer Biomet
01C2503019	107800			税込	関節内・1回	TriCeLL	TriCeLL系
01C2504013	178200			税込	関節外・1回	GPS	Zimmer Biomet
01C2504013	57200			税込	関節外・1回	TriCeLL	TriCeLL系
01C2403005	50000			税別	1回		
01C2403006	250000			税込	2 回分		
01C2403006	300000			税込	2 回分		
01C2504023	45000			不明		ACP	Arthrex
01C2504023	180000			不明		ACP MAX	Arthrex
01C2504024	45000			不明		ACP	Arthrex
01C2504024	180000			不明		ACP MAX	Arthrex
01C2603054	55000			税込	1 回	Condensia	京セラ
01C2604032	55000			税込	1 回	Condensia	京セラ
01G2506020	2200000			税込			
01G2508001	110000			税込	PRGF-Endoret・1回	PRGF-Endoret	BTI
01G2508001	330000			税込	Angel HD-PRP・1回	Angel	Arthrex
01G2508002	110000			税込	PRGF-Endoret・1回	PRGF-Endoret	BTI
01G2508002	330000			税込	Angel HD-PRP・1回	Angel	Arthrex
01G2508005	600000			税込	1部位		
01G2508005	990000			税込			
01G1906001	50000			税別	1回		
01G2001007	50000			税別	2 回分		
01G2001007	100000			税別	2 回分		
01G2105006	319000			税込	2 回分		
01G2604009	1650000			税込			
03G2411009	1000000			税別	1 回		
03G2411009	1500000			税別	1 回		
03G2411009	2000000			税別	1 回		
03G2411009	2500000			税別	1 回		
03G2411009	3000000			税別	1 回		
02G2310004	2500000			税別	1回		
02G2604007	2750000			税込			
03G2603007	1470000			税別	1 回		
03G2603007	2940000			税別	1 回		
03G2603007	4400000			税別	1 回		
03G2603007	5880000			税別	1 回		
03G2603007	7350000			税別	1 回		
02G2201004	2420000			税込	1回		
01G2302003	35000			税込			
01G2505003	165000			税込		ACP MAX	Arthrex
01G2505003	44000			税込		ACP	Arthrex
01G2505003	77000			税込		ACP	Arthrex
02G2002005	1500000			税別			
02G2412004	1999800			税込			
03G2101003	200000			税別	1回		
03G2101004		110000	130000	不明	PRP・1回	PRP	
01G1909002	85000			不明	1 部位		
01G2011006	30000			税別	2 回分		
02G2606005	100000			不明	1 回		
02G2606005	150000			不明	1 回		
03G2502010	100000			税別	2 回分	GPS	Zimmer Biomet
03G2502010	300000			税別	2 回分	APS	Zimmer Biomet
03G2502010	30000			税別	2 回分	ACP	Arthrex
01G2506018	39600			税込		ACP	Arthrex
01G2506018	77000			税込		ACP	Arthrex
01G2506018	165000			税込		ACP MAX	Arthrex
01G2506019	29700			税込		ACP	Arthrex
01G2506019	39600			税込		ACP	Arthrex
01G2506019	77000			税込		ACP	Arthrex
01G2506019	165000			税込		ACP MAX	Arthrex
01G2603002	165000			税込			
01C2104018	30000			税込		Condensia	京セラ
02C1910156	1500000			税別			
01C2207022	70000			税込	1回	PRP	
01C2207023	70000			税込	1回	PRP	
01C1906015	300000			不明	1回		
01C1910017	150000			不明	一回		
01C2412022	1500000			税別	1回		
01C2605018	150000			税別	1回		
01C2605018	300000			税別	1回		
01C2605017	150000			税別	1回		
01C2605017	300000			税別	1回		
01C2407019	60000			税込	1回		
03C2311001	30000			税込		Condensia	京セラ
03C2305020	200000			不明	3 回分		
02C2603010	33000			税込	1 回	PRGF-Endoret	BTI
02C2603010	88000			税込	1 回	GPS	Zimmer Biomet
02C2408099	30000			税別	PRP注射1回	ACP	Arthrex
02C2408099	50000			税別	PRP注射2回・同時実施時の総額	ACP	Arthrex
02C2409071	30000			税別	1回	ACP / Arthrex	Arthrex
02C2409071	50000			税別	1回	ACP / Arthrex	Arthrex
01G2311007	33000			税込	1 回		
01G1906006	120000			不明		GPS	Zimmer Biomet
03G2305005	250000			税別		APS	Zimmer Biomet
01D2507005	50000			税込		ACP	Arthrex
01D2507005	99000			税込		ACP	Arthrex
01D2507005	209000			税込		ACP MAX	Arthrex
01D2511004	33000			税込		MyCells	MyCells系
01D2511004	66000			税込		MyCells	MyCells系
02D2403002	55000			税込		ACP	Arthrex
02D2403002	44000			不明	1 回	Condensia	京セラ
02D2403002	55000			不明	1 回	ACP	Arthrex
02D2403002	15000			不明			
01D2504007	55000			不明		ACP	Arthrex
01D2504007	330000			不明		APS	Zimmer Biomet
01D2504007	550000			不明		Angel	Arthrex
03D2510005	15000			税込			
03D2510005	20000			税込	1回		
03D2510005	80000			税込		GPS	Zimmer Biomet
03D2510005	70000			税込		GPS	Zimmer Biomet
03F2309003	33000			税込	2 回分		
01F2203002	45000			税込	2 回分		
01F2203002	50000			税込	2 回分		
01F2203002	90000			税込	2 回分		
03F2505002	120000			不明		GPS	Zimmer Biomet
01F2604004	50000			税込			
03F2509001	65450			税別	1 回		
03F2509001	100000			税別	1 回		
02G2405005	15000			不明			
01G2607001	70000			税込	1 回	Condensia	京セラ
01G2406010	38500			税込	2回分		
01G2308005	38500			税込			
01G2308005	71500			不明	2 回		
01G2308005	38500			不明	1 回		
01G2308005	16500			不明			
